state,county_fips,county_name,year,typical_home_value,median_household_income,home_value_to_income_ratio,zillow_months_available,zillow_data_status,home_value_source,home_value_year_method,income_source
FL,12013,Calhoun County,2024,189020.82,50517,3.7417,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12015,Charlotte County,2015,168909.53,44244,3.8177,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12015,Charlotte County,2016,187729.36,44865,4.1843,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12015,Charlotte County,2017,201043.66,46511,4.3225,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12015,Charlotte County,2018,214021.65,49225,4.3478,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12015,Charlotte County,2019,224292.09,51499,4.3553,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12015,Charlotte County,2020,236236.41,52724,4.4806,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12015,Charlotte County,2021,285965.67,57887,4.9401,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12015,Charlotte County,2022,375550.49,62164,6.0413,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12015,Charlotte County,2023,380184.06,66154,5.747,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12015,Charlotte County,2024,363473.29,69952,5.196,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12017,Citrus County,2015,118527.2,38312,3.0937,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12017,Citrus County,2016,131137.4,39054,3.3578,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12017,Citrus County,2017,143935.24,40574,3.5475,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12017,Citrus County,2018,159786.24,41424,3.8573,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12017,Citrus County,2019,168452.16,44237,3.8079,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12017,Citrus County,2020,181252.73,45689,3.9671,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12017,Citrus County,2021,222364.6,48664,4.5694,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12017,Citrus County,2022,278580.58,52569,5.2993,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12017,Citrus County,2023,287942.5,55355,5.2017,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12017,Citrus County,2024,289773.99,56546,5.1246,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12019,Clay County,2015,168471.66,58290,2.8902,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12019,Clay County,2016,179137.87,59179,3.0271,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12019,Clay County,2017,190914.76,61971,3.0807,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12019,Clay County,2018,210254.94,62653,3.3559,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12019,Clay County,2019,224165.86,65740,3.4099,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12019,Clay County,2020,237792.98,68657,3.4635,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12019,Clay County,2021,276646.96,74059,3.7355,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12019,Clay County,2022,343897.55,82242,4.1815,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
FL,12019,Clay County,2023,347879.24,86094,4.0407,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2023 5-year B19013
FL,12019,Clay County,2024,349623.97,87820,3.9811,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2024 5-year B19013
FL,12021,Collier County,2015,320589.48,57452,5.5801,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2015 5-year B19013
FL,12021,Collier County,2016,349440.2,59783,5.8451,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2016 5-year B19013
FL,12021,Collier County,2017,352605.72,62407,5.6501,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2017 5-year B19013
FL,12021,Collier County,2018,355721.87,65675,5.4164,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2018 5-year B19013
FL,12021,Collier County,2019,361228.11,69653,5.1861,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2019 5-year B19013
FL,12021,Collier County,2020,368178.59,70217,5.2434,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2020 5-year B19013
FL,12021,Collier County,2021,438017.72,75543,5.7983,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2021 5-year B19013
FL,12021,Collier County,2022,594546.08,82011,7.2496,12,complete_12_months,Zillow ZHVI county,annual_mean_zhvi,ACS 2022 5-year B19013
