state,county_fips,county_name,year,median_household_income,income_source
FL,12037,Franklin County,2015,40401,ACS 2015 5-year B19013
FL,12037,Franklin County,2016,40301,ACS 2016 5-year B19013
FL,12037,Franklin County,2017,41267,ACS 2017 5-year B19013
FL,12037,Franklin County,2018,42855,ACS 2018 5-year B19013
FL,12037,Franklin County,2019,46643,ACS 2019 5-year B19013
FL,12037,Franklin County,2020,48814,ACS 2020 5-year B19013
FL,12037,Franklin County,2021,52679,ACS 2021 5-year B19013
FL,12037,Franklin County,2022,58107,ACS 2022 5-year B19013
FL,12037,Franklin County,2023,62734,ACS 2023 5-year B19013
FL,12037,Franklin County,2024,64105,ACS 2024 5-year B19013
FL,12039,Gadsden County,2015,35567,ACS 2015 5-year B19013
FL,12039,Gadsden County,2016,38533,ACS 2016 5-year B19013
FL,12039,Gadsden County,2017,39830,ACS 2017 5-year B19013
FL,12039,Gadsden County,2018,40922,ACS 2018 5-year B19013
FL,12039,Gadsden County,2019,41401,ACS 2019 5-year B19013
FL,12039,Gadsden County,2020,41135,ACS 2020 5-year B19013
FL,12039,Gadsden County,2021,42661,ACS 2021 5-year B19013
FL,12039,Gadsden County,2022,45721,ACS 2022 5-year B19013
FL,12039,Gadsden County,2023,46047,ACS 2023 5-year B19013
FL,12039,Gadsden County,2024,48801,ACS 2024 5-year B19013
FL,12041,Gilchrist County,2015,40623,ACS 2015 5-year B19013
FL,12041,Gilchrist County,2016,40881,ACS 2016 5-year B19013
FL,12041,Gilchrist County,2017,42934,ACS 2017 5-year B19013
FL,12041,Gilchrist County,2018,42357,ACS 2018 5-year B19013
FL,12041,Gilchrist County,2019,43640,ACS 2019 5-year B19013
FL,12041,Gilchrist County,2020,47381,ACS 2020 5-year B19013
FL,12041,Gilchrist County,2021,50983,ACS 2021 5-year B19013
FL,12041,Gilchrist County,2022,56823,ACS 2022 5-year B19013
FL,12041,Gilchrist County,2023,61070,ACS 2023 5-year B19013
FL,12041,Gilchrist County,2024,63523,ACS 2024 5-year B19013
FL,12043,Glades County,2015,34877,ACS 2015 5-year B19013
FL,12043,Glades County,2016,34143,ACS 2016 5-year B19013
FL,12043,Glades County,2017,37385,ACS 2017 5-year B19013
FL,12043,Glades County,2018,39879,ACS 2018 5-year B19013
FL,12043,Glades County,2019,40977,ACS 2019 5-year B19013
